popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,track_genre
87,260173,False,0.588,0.521,-9.461,1,0.0329,0.0678,0.149,0.337,85.012,rock
83,299960,False,0.705,0.712,-6.156,1,0.0385,0.0102,0.000855,0.62,97.512,rock
86,206280,False,0.575,0.568,-5.509,0,0.03,0.0484,0.000417,0.37,93.986,rock
93,240400,False,0.612,0.807,-2.81,1,0.0336,0.0495,0.0177,0.398,124.053,rock
83,153000,False,0.551,0.881,-6.099,0,0.0542,0.186,0.0791,0.387,88.036,rock
76,180690,False,0.573,0.539,-6.091,0,0.0322,0.0162,1.16e-05,0.39,75.012,rock
76,232146,False,0.427,0.201,-13.044,1,0.0317,0.745,0.263,0.0668,105.218,rock
78,213706,False,0.489,0.505,-8.022,0,0.117,0.579,0.000333,0.337,163.255,rock
73,192106,False,0.485,0.843,-3.993,0,0.0467,0.00129,1.01e-05,0.602,78.001,rock
83,301920,False,0.502,0.912,-4.556,1,0.0564,2.55e-05,0.000173,0.72,116.761,rock
75,216720,False,0.51,0.882,-5.659,0,0.159,0.00158,0.00206,0.653,154.029,rock
83,199080,False,0.578,0.866,-3.804,1,0.0619,0.00701,0.0,0.619,128.038,rock
69,237375,False,0.411,0.675,-6.251,0,0.0591,0.063,0.0,0.545,130.134,rock
4,260808,False,0.573,0.913,-6.52,0,0.0409,0.00861,0.0273,0.795,88.418,rock
2,260808,False,0.573,0.913,-6.52,0,0.0409,0.00861,0.0273,0.795,88.418,rock
2,223973,False,0.344,0.931,-3.759,1,0.0783,0.00104,0.0,0.251,148.104,rock
2,329733,False,0.592,0.765,-2.788,0,0.027,0.0021,0.00154,0.327,96.483,rock
0,186148,False,0.386,0.936,-4.005,1,0.0701,0.0121,1.6e-05,0.418,176.366,rock
0,204466,False,0.499,0.223,-15.253,1,0.0338,0.912,0.0,0.304,129.291,rock
1,232412,False,0.417,0.682,-5.071,1,0.0295,0.0267,0.000669,0.351,105.542,rock
5,220413,False,0.441,0.976,-3.09,0,0.147,0.000335,0.0475,0.248,130.411,rock
0,186148,False,0.386,0.936,-4.005,1,0.0701,0.0121,1.6e-05,0.418,176.366,rock
2,223973,False,0.344,0.931,-3.759,1,0.0783,0.00104,0.0,0.251,148.104,rock
3,185906,False,0.569,0.963,-3.069,1,0.0593,0.000787,0.0256,0.82,76.995,rock
0,260808,False,0.573,0.913,-6.52,0,0.0409,0.00861,0.0273,0.795,88.418,rock
3,232412,False,0.417,0.682,-5.071,1,0.0295,0.0267,0.000669,0.351,105.542,rock
0,223973,False,0.344,0.931,-3.759,1,0.0783,0.00104,0.0,0.251,148.104,rock
0,208920,False,0.658,0.773,-5.119,1,0.0244,0.000901,0.0,0.66,100.006,rock
1,445000,False,0.64,0.821,-5.789,0,0.0732,0.00122,0.145,0.624,135.478,rock
1,223973,False,0.344,0.931,-3.759,1,0.0783,0.00104,0.0,0.251,148.104,rock
0,200946,False,0.508,0.981,-3.23,0,0.0779,8.22e-05,0.000449,0.746,138.011,rock
1,123800,True,0.421,0.986,-1.795,0,0.152,0.00482,0.0,0.263,105.83,rock
0,250222,False,0.112,0.978,-2.64,1,0.117,0.000108,0.0241,0.371,173.097,rock
0,250222,False,0.112,0.978,-2.64,1,0.117,0.000108,0.0241,0.371,173.097,rock
1,202053,False,0.476,0.979,-3.504,0,0.133,0.00142,0.00686,0.394,140.408,rock
0,232412,False,0.417,0.682,-5.071,1,0.0295,0.0267,0.000669,0.351,105.542,rock
0,262586,False,0.532,0.872,-3.869,1,0.0636,0.00223,0.0,0.299,127.959,rock
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
